id,round,page_name,time_spent,time_entered,time_done
Ej3r,4,S2,29,2021-02-03T15:21:27Z,2021-02-03T15:21:56Z
Ej3r,4,S3,20,2021-02-03T15:21:56Z,2021-02-03T15:22:16Z
Ej3r,5,S2,87,2021-02-03T15:22:16Z,2021-02-03T15:23:43Z
Ej3r,5,S3,21,2021-02-03T15:23:43Z,2021-02-03T15:24:04Z
Ej3r,6,S2,30,2021-02-03T15:24:04Z,2021-02-03T15:24:34Z
Ej3r,6,S3,19,2021-02-03T15:24:34Z,2021-02-03T15:24:53Z
Ej3r,7,S2,31,2021-02-03T15:24:53Z,2021-02-03T15:25:24Z
Ej3r,7,S3,32,2021-02-03T15:25:24Z,2021-02-03T15:25:56Z
Ej3r,8,S2,25,2021-02-03T15:25:56Z,2021-02-03T15:26:21Z
Ej3r,8,S3,22,2021-02-03T15:26:21Z,2021-02-03T15:26:43Z
Ej3r,9,S2,43,2021-02-03T15:26:43Z,2021-02-03T15:27:26Z
Ej3r,9,S3,17,2021-02-03T15:27:26Z,2021-02-03T15:27:43Z
Ej3r,10,S2,26,2021-02-03T15:27:43Z,2021-02-03T15:28:09Z
Ej3r,10,S3,19,2021-02-03T15:28:09Z,2021-02-03T15:28:28Z
Ej3r,10,S4,152,2021-02-03T15:28:28Z,2021-02-03T15:31:00Z
eXrB,1,S1,213,2021-02-02T09:52:20Z,2021-02-02T09:55:53Z
eXrB,1,S2,25,2021-02-02T09:55:53Z,2021-02-02T09:56:18Z
eXrB,1,S3,14,2021-02-02T09:56:18Z,2021-02-02T09:56:32Z
eXrB,2,S2,17,2021-02-02T09:56:32Z,2021-02-02T09:56:49Z
eXrB,2,S3,10,2021-02-02T09:56:49Z,2021-02-02T09:56:59Z
eXrB,3,S2,16,2021-02-02T09:56:59Z,2021-02-02T09:57:15Z
eXrB,3,S3,4,2021-02-02T09:57:15Z,2021-02-02T09:57:19Z
eXrB,4,S2,15,2021-02-02T09:57:19Z,2021-02-02T09:57:34Z
eXrB,4,S3,2,2021-02-02T09:57:34Z,2021-02-02T09:57:36Z
eXrB,5,S2,38,2021-02-02T09:57:36Z,2021-02-02T09:58:14Z
eXrB,5,S3,3,2021-02-02T09:58:14Z,2021-02-02T09:58:17Z
eXrB,6,S2,2,2021-02-02T09:58:17Z,2021-02-02T09:58:19Z
eXrB,6,S3,2,2021-02-02T09:58:19Z,2021-02-02T09:58:21Z
eXrB,7,S2,2,2021-02-02T09:58:21Z,2021-02-02T09:58:23Z
eXrB,7,S3,1,2021-02-02T09:58:23Z,2021-02-02T09:58:24Z
eXrB,8,S2,2,2021-02-02T09:58:24Z,2021-02-02T09:58:26Z
eXrB,8,S3,2,2021-02-02T09:58:26Z,2021-02-02T09:58:28Z
eXrB,9,S2,2,2021-02-02T09:58:28Z,2021-02-02T09:58:30Z
eXrB,9,S3,1,2021-02-02T09:58:30Z,2021-02-02T09:58:31Z
eXrB,10,S2,2,2021-02-02T09:58:31Z,2021-02-02T09:58:33Z
eXrB,10,S3,2,2021-02-02T09:58:33Z,2021-02-02T09:58:35Z
